user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
48626533,Don't Starve,Trine 2,Torchlight II,Magicka,Risk of Rain,Castle Crashers,Rust,PAYDAY 2,Borderlands 2,Call of Duty Modern Warfare 2,Don't Starve Together Beta,Saints Row IV,Fallout 4,Call of Duty Black Ops II - Multiplayer,FTL Faster Than Light,Nosgoth,Left 4 Dead 2,The Long Dark,Prison Architect,Age of Empires II HD Edition
132180557,Unturned,PAYDAY 2,Robocraft,Call of Duty Black Ops,Call of Duty Black Ops - Multiplayer,Killing Floor,Just Cause 2,Call of Duty Modern Warfare 2 - Multiplayer,RollerCoaster Tycoon 3 Platinum!,The Elder Scrolls V Skyrim,Call of Duty Modern Warfare 2,Portal 2,Portal,Arma 2 Operation Arrowhead,Borderlands 2,Age of Empires II HD Edition,Team Fortress 2,Call of Duty Modern Warfare 3 - Multiplayer,Counter-Strike Global Offensive,Garry's Mod
12860805,Call of Duty Black Ops,Call of Duty Modern Warfare 2,Call of Duty Modern Warfare 3,Call of Duty Ghosts - Multiplayer,Call of Duty Black Ops - Multiplayer,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Ghosts,Mafia II,Call of Duty Black Ops II,Call of Duty Modern Warfare 3 - Multiplayer,Left 4 Dead,Call of Duty Black Ops II - Multiplayer,Just Cause 2,Sniper Ghost Warrior,Portal,Half-Life 2,Tomb Raider,Call of Duty Advanced Warfare,H1Z1,Grand Theft Auto IV
37422528,Unturned,Hitman Absolution,Grand Theft Auto IV,SMITE,Call of Duty Black Ops II,Call of Duty Modern Warfare 3 - Multiplayer,Sniper Elite V2,Call of Duty Modern Warfare 3,Call of Duty Black Ops II - Zombies,Clicker Heroes,Call of Duty Black Ops,Call of Duty Advanced Warfare - Multiplayer,PAYDAY 2,Call of Duty Black Ops II - Multiplayer,Counter-Strike Global Offensive,Call of Duty Black Ops - Multiplayer,Team Fortress 2,Tomb Raider,Call of Duty Advanced Warfare,Call of Duty Modern Warfare 2 - Multiplayer
204480696,Torchlight II,Borderlands The Pre-Sequel,Borderlands 2,Starbound,The Forest,Magicka,Don't Starve Together Beta,Don't Starve,Portal 2,Castle Crashers,Portal,Chivalry Medieval Warfare,Terraria,Guns of Icarus Online,Goat Simulator,The Binding of Isaac,Dark Souls Prepare to Die Edition,Realm of the Mad God,Spore,Bastion
184694766,Unturned,Left 4 Dead 2,PAYDAY 2,Warframe,No More Room in Hell,Garry's Mod,Counter-Strike Global Offensive,The Elder Scrolls V Skyrim,Team Fortress 2,Clicker Heroes,Call of Duty Modern Warfare 3 - Multiplayer,Saints Row The Third,Terraria,Counter-Strike Source,Grand Theft Auto IV,Heroes & Generals,Trove,Call of Duty Modern Warfare 3,Counter-Strike Nexon Zombies,Archeblade
143877335,Heroes & Generals,Dirty Bomb,Magic Duels,RIFT,AdVenture Capitalist,Warface,APB Reloaded,Path of Exile,Magicka Wizard Wars,Aftermath,PlanetSide 2,Creativerse,Blacklight Retribution,Project Zomboid,Supreme Commander 2,Neverwinter,HAWKEN,Defiance,Infestation Survivor Stories,Company of Heroes 2
50818751,PAYDAY The Heist,Half-Life 2 Episode One,Heroes & Generals,Age of Empires II HD Edition,Half-Life 2 Episode Two,Serious Sam HD The Second Encounter,Half-Life,Day of Defeat Source,Half-Life 2,F.E.A.R. 2 Project Origin,Insurgency Modern Infantry Combat,Age of Chivalry,Evolve,Rising Storm/Red Orchestra 2 Multiplayer,Blacklight Retribution,Half-Life 2 Lost Coast,Sniper Elite V2,Company of Heroes 2,The Ship,Source Filmmaker
5759284,Left 4 Dead,Counter-Strike Condition Zero,Counter-Strike,Counter-Strike Condition Zero Deleted Scenes,Day of Defeat,Counter-Strike Source,Day of Defeat Source,Half-Life 2,Terraria,Age of Empires II HD Edition,Half-Life 2 Deathmatch,Killing Floor,Call of Duty Black Ops - Multiplayer,Left 4 Dead 2,Call of Duty Modern Warfare 2 - Multiplayer,DayZ,Half-Life 2 Lost Coast,Borderlands,Call of Duty Modern Warfare 3 - Multiplayer,Portal
4595423,Team Fortress 2,Counter-Strike Source,Alien Swarm,DC Universe Online,PAYDAY 2,Garry's Mod,Day of Defeat Source,Warframe,Terraria,Half-Life 2 Deathmatch,Left 4 Dead 2,The Elder Scrolls V Skyrim,Fallout New Vegas,Left 4 Dead,Call of Duty Modern Warfare 2,Counter-Strike,Mount & Blade Warband,Call of Duty Black Ops - Multiplayer,Deus Ex Human Revolution,Sid Meier's Civilization V
11403772,Warface,The Ship,Brawlhalla,LIMBO,Overlord,Race The Sun,GameMaker Studio,Mad Max,PAYDAY The Heist,Dungeons of Dredmor,Super Monday Night Combat,Left 4 Dead,Transistor,Alice Madness Returns,Gunpoint,Sid Meier's Civilization III Complete,Source Filmmaker,DiRT Showdown,Ys Origin,Tropico 4
101725007,War Thunder,Robocraft,PlanetSide 2,Borderlands The Pre-Sequel,Sid Meier's Civilization V,Borderlands 2,Torchlight II,Dirty Bomb,Garry's Mod,Path of Exile,Team Fortress 2,ARK Survival Evolved,No More Room in Hell,Rocket League,HAWKEN,DayZ,Chivalry Medieval Warfare,Fallout 4,Starbound,Counter-Strike Global Offensive
80550861,Left 4 Dead 2,ARK Survival Evolved,Torchlight II,This War of Mine,Magicka,Borderlands 2,Banished,Dying Light,Cities Skylines,Don't Starve Together Beta,The Forest,Sid Meier's Civilization V,Dark Souls Prepare to Die Edition,Fallout 4,Grand Theft Auto V,FTL Faster Than Light,The Witcher 3 Wild Hunt,DARK SOULS II,The Witcher Enhanced Edition,The Elder Scrolls V Skyrim
43913966,Star Wars - Battlefront II,Space Engineers,Arma 2 Operation Arrowhead,Warface,War Thunder,Fallout New Vegas,Arma 2,PAYDAY The Heist,Defiance,No More Room in Hell,Tom Clancy's Ghost Recon Phantoms - NA,Garry's Mod,PlanetSide 2,The Witcher Enhanced Edition,Cities Skylines,Heroes & Generals,Evolve,BioShock,HAWKEN,APB Reloaded
103848468,Half-Life 2,Half-Life 2 Episode One,Half-Life 2 Episode Two,Half-Life,XCOM Enemy Unknown,Half-Life 2 Lost Coast,Portal,Half-Life Source,Far Cry 3,Fallout New Vegas,Left 4 Dead,Assassin's Creed II,Saints Row The Third,Call of Duty Modern Warfare 3,Need for Speed Hot Pursuit,Scribblenauts Unlimited,Far Cry 2,F.E.A.R. 2 Project Origin,LEGO MARVEL Super Heroes,Mass Effect
77980915,PAYDAY 2,Wolfenstein The New Order,FreeStyle2 Street Basketball,Saints Row IV,Mount & Blade Warband,Left 4 Dead 2,Nosgoth,Garry's Mod,Magicka,Aliens vs. Predator,Dying Light,Mount & Blade With Fire and Sword,Call of Duty Modern Warfare 2,Serious Sam HD The Second Encounter,The Lord of the Rings War in the North,Darksiders II,Space Engineers,Total War SHOGUN 2,BioShock Infinite,Tom Clancy's Splinter Cell Blacklist
209917929,Don't Starve Together Beta,The Witcher Enhanced Edition,Don't Starve,PlanetSide 2,Dungeon Defenders II,Orcs Must Die! 2,The Binding of Isaac,Defiance,Marvel Heroes 2015,Starbound,Castle Crashers,FINAL FANTASY VII,Robocraft,RIFT,Chivalry Medieval Warfare,Crusader Kings II,Path of Exile,Farming Simulator 15,Prison Architect,Magic Duels
